,mmsi,iwrap_type_from_dataset,length_from_data_set,width,trips,signals,Speed_mean,Speed_median,Speed_min,Speed_max,Speed_std,ROT_mean,ROT_median,ROT_min,ROT_max,ROT_std
119,253368000,Support ship,100,20,2.0,4634.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
120,219573000,Support ship,84,14,18.0,312648.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
121,211126700,Fishing ship,8,4,0.0,1421.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
122,219007155,Fishing ship,12,4,19.0,84262.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
123,209146000,Passenger ship,194,30,,7375.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
124,219008384,Fishing ship,10,4,4.0,7331.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
125,219000195,Support ship,65,12,,98147.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
126,219001514,Support ship,48,9,49.0,61590.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
127,219017203,Fast ferry,21,7,71.0,45670.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
128,219002317,Support ship,14,4,0.0,17823.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
129,244820656,Support ship,20,7,0.0,4896.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
130,211519000,Fishing ship,17,5,13.0,113232.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
131,219750000,Support ship,24,8,26.0,55432.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
132,219002005,Fishing ship,14,4,33.0,114812.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
133,211744720,Fishing ship,16,5,0.0,8962.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
134,235109502,Fast ferry,26,10,1.0,3846.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
135,211523660,Support ship,24,7,129.0,327391.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
136,211442520,Support ship,24,8,690.0,203043.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
137,218442000,Fishing ship,14,4,2.0,15530.0,19.240234933605723,22.5,0.1,25.0,7.025173141115252,10.812764216669699,0.9996296296296308,1.4210854715202004e-14,252.82982456140348,32.01071092255747
